cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag,won,RT
1,104,-0.25,55,6,1,0.7,1,0.3,3,1,824.22
1,104,-0.1053,80,6,0,0.6,3,0.4,5,0,1306.96
1,104,0.1818,28,6,0,0.6,4,0.4,5,0,1386.83
1,104,0.4348,25,6,1,0.7,2,0.3,3,1,937.38
1,104,0.5455,59,6,0,0.7,3,0.3,4,0,1022.76
1,104,0.6667,66,6,1,0.8,1,0.2,2,1,849.67
1,104,0.9091,47,6,0,0.8,2,0.2,3,0,1552.38
1,104,-0.9091,76,7,0,0.6,1,0.4,4,0,791.09
1,104,-0.7273,65,7,0,0.7,1,0.3,5,0,1128.18
1,104,-0.5,62,7,1,0.6,2,0.4,5,0,1618.9
1,104,-0.25,56,7,0,0.7,1,0.3,3,1,1084.94
1,104,-0.1053,84,7,0,0.6,3,0.4,5,0,1237.95
1,104,0.1818,75,7,1,0.6,4,0.4,5,0,2017.35
1,104,0.4348,42,7,1,0.7,2,0.3,3,0,2175.32
1,104,0.5455,63,7,1,0.7,3,0.3,4,1,1233.64
1,104,0.6667,74,7,1,0.8,1,0.2,2,1,776.04
1,104,0.9091,58,7,0,0.8,2,0.2,3,0,1856.65
1,104,-0.9091,77,8,0,0.6,1,0.4,4,1,711.92
1,104,-0.7273,83,8,0,0.7,1,0.3,5,0,888.45
1,104,-0.5,87,8,0,0.6,2,0.4,5,1,1272.68
1,104,-0.25,61,8,1,0.7,1,0.3,3,1,3079.98
1,104,-0.1053,85,8,1,0.6,3,0.4,5,0,1173.03
1,104,0.1818,78,8,1,0.6,4,0.4,5,0,1698.43
1,104,0.4348,53,8,1,0.7,2,0.3,3,1,929.78
1,104,0.5455,67,8,1,0.7,3,0.3,4,0,695.69
1,104,0.6667,93,8,1,0.8,1,0.2,2,0,1200.25
1,104,0.9091,69,8,1,0.8,2,0.2,3,1,676.02
1,104,-0.9091,81,9,1,0.6,1,0.4,4,0,1604.99
1,104,-0.7273,86,9,0,0.7,1,0.3,5,1,575.47
1,104,-0.5,89,9,1,0.6,2,0.4,5,1,735.81
1,104,-0.25,68,9,0,0.7,1,0.3,3,0,979.75
1,104,-0.1053,88,9,0,0.6,3,0.4,5,1,940.17
1,104,0.1818,79,9,0,0.6,4,0.4,5,0,1245.6
1,104,0.4348,90,9,0,0.7,2,0.3,3,0,473.98
1,104,0.5455,73,9,1,0.7,3,0.3,4,1,1008.85
1,104,0.6667,98,9,1,0.8,1,0.2,2,1,784.84
1,104,0.9091,71,9,1,0.8,2,0.2,3,1,954.32
1,104,-0.9091,95,10,0,0.6,1,0.4,4,0,796.93
1,104,-0.7273,100,10,0,0.7,1,0.3,5,1,923.96
1,104,-0.5,92,10,1,0.6,2,0.4,5,1,1200.95
1,104,-0.25,96,10,0,0.7,1,0.3,3,1,582.25
1,104,-0.1053,94,10,0,0.6,3,0.4,5,0,815.21
1,104,0.1818,91,10,0,0.6,4,0.4,5,1,525.69
1,104,0.4348,97,10,1,0.7,2,0.3,3,1,32787.93
1,104,0.5455,82,10,0,0.7,3,0.3,4,0,502.36
1,104,0.6667,99,10,1,0.8,1,0.2,2,1,888.05
1,104,0.9091,72,10,1,0.8,2,0.2,3,1,802.06
1,106,-0.9091,28,1,0,0.6,1,0.4,4,0,1058.1
1,106,-0.7273,6,1,0,0.7,1,0.3,5,0,2069.54
1,106,-0.5,2,1,1,0.6,2,0.4,5,1,1873.14
1,106,-0.25,1,1,0,0.7,1,0.3,3,0,4221.74
1,106,-0.1053,24,1,1,0.6,3,0.4,5,1,1859.01
1,106,0.1818,4,1,0,0.6,4,0.4,5,0,2071.58
1,106,0.4348,21,1,1,0.7,2,0.3,3,0,1488.35
1,106,0.5455,16,1,1,0.7,3,0.3,4,1,2640.64
1,106,0.6667,3,1,1,0.8,1,0.2,2,1,1627.51
1,106,0.9091,18,1,1,0.8,2,0.2,3,1,1329.84
1,106,-0.9091,31,2,0,0.6,1,0.4,4,0,1087.83
1,106,-0.7273,10,2,0,0.7,1,0.3,5,1,1476.52
1,106,-0.5,11,2,1,0.6,2,0.4,5,1,1295.04
1,106,-0.25,8,2,1,0.7,1,0.3,3,1,2161.28
1,106,-0.1053,25,2,0,0.6,3,0.4,5,1,930.17
1,106,0.1818,5,2,1,0.6,4,0.4,5,1,1475.64
1,106,0.4348,23,2,1,0.7,2,0.3,3,1,995.34
1,106,0.5455,20,2,1,0.7,3,0.3,4,1,876.06
1,106,0.6667,9,2,1,0.8,1,0.2,2,1,1329.92
1,106,0.9091,19,2,1,0.8,2,0.2,3,1,1363.74
1,106,-0.9091,35,3,0,0.6,1,0.4,4,1,1403.55
1,106,-0.7273,14,3,1,0.7,1,0.3,5,1,1801.8
1,106,-0.5,15,3,1,0.6,2,0.4,5,0,985.14
1,106,-0.25,12,3,1,0.7,1,0.3,3,1,1307.77
1,106,-0.1053,29,3,1,0.6,3,0.4,5,1,1047.54
1,106,0.1818,7,3,1,0.6,4,0.4,5,0,1202.4
1,106,0.4348,43,3,1,0.7,2,0.3,3,1,3349.69
1,106,0.5455,22,3,0,0.7,3,0.3,4,0,2061.33
1,106,0.6667,30,3,1,0.8,1,0.2,2,1,1155.75
1,106,0.9091,42,3,1,0.8,2,0.2,3,1,1237.63
1,106,-0.9091,49,4,0,0.6,1,0.4,4,0,746.04
1,106,-0.7273,26,4,1,0.7,1,0.3,5,1,1108.46
1,106,-0.5,39,4,1,0.6,2,0.4,5,1,3662.26
1,106,-0.25,33,4,1,0.7,1,0.3,3,1,1156.93
1,106,-0.1053,32,4,1,0.6,3,0.4,5,0,1155.1
1,106,0.1818,13,4,1,0.6,4,0.4,5,0,1684.75
1,106,0.4348,47,4,1,0.7,2,0.3,3,0,1236.67
1,106,0.5455,50,4,1,0.7,3,0.3,4,1,1013.57
1,106,0.6667,45,4,1,0.8,1,0.2,2,1,1165.17
1,106,0.9091,46,4,1,0.8,2,0.2,3,1,948.67
1,106,-0.9091,51,5,1,0.6,1,0.4,4,0,996.35
1,106,-0.7273,27,5,1,0.7,1,0.3,5,1,1246.65
1,106,-0.5,52,5,0,0.6,2,0.4,5,1,1475.15
1,106,-0.25,34,5,0,0.7,1,0.3,3,1,2029.8
1,106,-0.1053,37,5,0,0.6,3,0.4,5,0,1142.13
1,106,0.1818,17,5,1,0.6,4,0.4,5,1,1237.08
1,106,0.4348,48,5,1,0.7,2,0.3,3,1,1061.3
1,106,0.5455,54,5,1,0.7,3,0.3,4,1,1742.6
1,106,0.6667,60,5,1,0.8,1,0.2,2,0,1412.3
1,106,0.9091,56,5,1,0.8,2,0.2,3,1,1328.65
1,106,-0.9091,61,6,0,0.6,1,0.4,4,0,1213.87
1,106,-0.7273,36,6,1,0.7,1,0.3,5,1,1532.03
1,106,-0.5,55,6,1,0.6,2,0.4,5,0,1376.05
1,106,-0.25,57,6,0,0.7,1,0.3,3,0,1403.51
1,106,-0.1053,40,6,1,0.6,3,0.4,5,0,2018.55
1,106,0.1818,41,6,1,0.6,4,0.4,5,0,1375.58
1,106,0.4348,68,6,1,0.7,2,0.3,3,1,1046
1,106,0.5455,65,6,1,0.7,3,0.3,4,1,925.65
1,106,0.6667,67,6,1,0.8,1,0.2,2,1,872.83
1,106,0.9091,72,6,1,0.8,2,0.2,3,1,905.31
1,106,-0.9091,78,7,0,0.6,1,0.4,4,1,1450.59
1,106,-0.7273,38,7,1,0.7,1,0.3,5,1,799.09
1,106,-0.5,58,7,0,0.6,2,0.4,5,0,1859.42
1,106,-0.25,62,7,1,0.7,1,0.3,3,1,1134.36
1,106,-0.1053,44,7,0,0.6,3,0.4,5,1,1222.9
1,106,0.1818,59,7,0,0.6,4,0.4,5,0,879.01
1,106,0.4348,85,7,1,0.7,2,0.3,3,0,1153.86
1,106,0.5455,69,7,1,0.7,3,0.3,4,1,1026.56
1,106,0.6667,77,7,1,0.8,1,0.2,2,1,979.15
1,106,0.9091,75,7,1,0.8,2,0.2,3,1,992.16
1,106,-0.9091,81,8,0,0.6,1,0.4,4,0,865.11
1,106,-0.7273,73,8,0,0.7,1,0.3,5,0,1578.48
1,106,-0.5,63,8,0,0.6,2,0.4,5,1,1495.01
1,106,-0.25,66,8,1,0.7,1,0.3,3,0,967.06
1,106,-0.1053,53,8,0,0.6,3,0.4,5,0,1566.83
1,106,0.1818,64,8,1,0.6,4,0.4,5,1,1091.35
1,106,0.4348,91,8,1,0.7,2,0.3,3,1,704.27
1,106,0.5455,71,8,1,0.7,3,0.3,4,0,701.48
1,106,0.6667,83,8,1,0.8,1,0.2,2,1,1188.82
1,106,0.9091,94,8,1,0.8,2,0.2,3,1,881.19
1,106,-0.9091,82,9,0,0.6,1,0.4,4,0,1364.75
1,106,-0.7273,97,9,1,0.7,1,0.3,5,1,1705.89
1,106,-0.5,79,9,1,0.6,2,0.4,5,1,3048.05
1,106,-0.25,90,9,1,0.7,1,0.3,3,1,735.07
1,106,-0.1053,74,9,1,0.6,3,0.4,5,0,2066.4
1,106,0.1818,70,9,1,0.6,4,0.4,5,1,1072.21
1,106,0.4348,93,9,1,0.7,2,0.3,3,1,662.9
1,106,0.5455,80,9,1,0.7,3,0.3,4,1,1229.81
1,106,0.6667,88,9,1,0.8,1,0.2,2,0,916.55
1,106,0.9091,95,9,1,0.8,2,0.2,3,1,1383.12
1,106,-0.9091,86,10,0,0.6,1,0.4,4,0,1011.4
1,106,-0.7273,99,10,1,0.7,1,0.3,5,1,944.97
1,106,-0.5,84,10,0,0.6,2,0.4,5,0,1044.64
1,106,-0.25,92,10,1,0.7,1,0.3,3,0,749.42
1,106,-0.1053,87,10,0,0.6,3,0.4,5,0,1505.04
1,106,0.1818,76,10,1,0.6,4,0.4,5,1,1720.49
1,106,0.4348,96,10,1,0.7,2,0.3,3,0,1094.7
1,106,0.5455,98,10,0,0.7,3,0.3,4,0,1092.95
1,106,0.6667,89,10,1,0.8,1,0.2,2,1,859.11
1,106,0.9091,100,10,1,0.8,2,0.2,3,1,1001.47
1,109,-0.9091,21,1,1,0.6,1,0.4,4,1,2626.81
1,109,-0.7273,12,1,1,0.7,1,0.3,5,0,2178.41
1,109,-0.5,2,1,1,0.6,2,0.4,5,1,1442.41
1,109,-0.25,6,1,1,0.7,1,0.3,3,1,758.23
1,109,-0.1053,4,1,1,0.6,3,0.4,5,1,1283.31
1,109,0.1818,11,1,1,0.6,4,0.4,5,1,1835.62
1,109,0.4348,20,1,1,0.7,2,0.3,3,1,1007.32
1,109,0.5455,7,1,1,0.7,3,0.3,4,1,894.48
1,109,0.6667,5,1,1,0.8,1,0.2,2,1,1015.9
1,109,0.9091,1,1,1,0.8,2,0.2,3,1,4529.08
1,109,-0.9091,26,2,1,0.6,1,0.4,4,1,1699.94
1,109,-0.7273,18,2,1,0.7,1,0.3,5,1,1007.19
1,109,-0.5,3,2,1,0.6,2,0.4,5,1,1730.28
1,109,-0.25,15,2,1,0.7,1,0.3,3,1,924.09
1,109,-0.1053,27,2,1,0.6,3,0.4,5,0,2863.13
1,109,0.1818,13,2,1,0.6,4,0.4,5,1,1322.29
1,109,0.4348,25,2,1,0.7,2,0.3,3,1,781.24
1,109,0.5455,8,2,1,0.7,3,0.3,4,0,689.15
1,109,0.6667,17,2,1,0.8,1,0.2,2,0,1082.55
1,109,0.9091,10,2,1,0.8,2,0.2,3,0,1779.67
1,109,-0.9091,45,3,1,0.6,1,0.4,4,1,2145.12
1,109,-0.7273,24,3,1,0.7,1,0.3,5,1,879.73
1,109,-0.5,9,3,1,0.6,2,0.4,5,0,997.3
1,109,-0.25,19,3,1,0.7,1,0.3,3,1,901.73
1,109,-0.1053,41,3,1,0.6,3,0.4,5,1,1489.18
1,109,0.1818,14,3,1,0.6,4,0.4,5,1,1115.13
1,109,0.4348,29,3,1,0.7,2,0.3,3,0,1473.81
1,109,0.5455,22,3,1,0.7,3,0.3,4,1,1322.59
1,109,0.6667,34,3,1,0.8,1,0.2,2,1,981.14
1,109,0.9091,57,3,1,0.8,2,0.2,3,1,1157.71
1,109,-0.9091,55,4,1,0.6,1,0.4,4,0,1874.22
1,109,-0.7273,32,4,1,0.7,1,0.3,5,1,978.55
1,109,-0.5,33,4,1,0.6,2,0.4,5,1,1248.45
1,109,-0.25,28,4,0,0.7,1,0.3,3,0,1850.82
1,109,-0.1053,53,4,1,0.6,3,0.4,5,0,1217.25
1,109,0.1818,16,4,1,0.6,4,0.4,5,1,1653.37
1,109,0.4348,30,4,1,0.7,2,0.3,3,0,1351.56
1,109,0.5455,23,4,1,0.7,3,0.3,4,0,1292.81
1,109,0.6667,38,4,1,0.8,1,0.2,2,1,870.73
1,109,0.9091,63,4,1,0.8,2,0.2,3,1,1442.99
1,109,-0.9091,56,5,1,0.6,1,0.4,4,1,1297.16
1,109,-0.7273,51,5,0,0.7,1,0.3,5,0,2894.74
1,109,-0.5,49,5,1,0.6,2,0.4,5,1,1111.13
1,109,-0.25,35,5,1,0.7,1,0.3,3,1,797.7
1,109,-0.1053,59,5,0,0.6,3,0.4,5,0,1057.7
1,109,0.1818,31,5,1,0.6,4,0.4,5,1,1329.2
1,109,0.4348,42,5,1,0.7,2,0.3,3,1,1422.36
1,109,0.5455,36,5,1,0.7,3,0.3,4,1,852.97
1,109,0.6667,40,5,1,0.8,1,0.2,2,1,811.65
1,109,0.9091,67,5,1,0.8,2,0.2,3,0,1043.9
1,109,-0.9091,66,6,1,0.6,1,0.4,4,1,1471.22
1,109,-0.7273,68,6,1,0.7,1,0.3,5,1,2080.9
1,109,-0.5,52,6,1,0.6,2,0.4,5,1,901.03
1,109,-0.25,37,6,1,0.7,1,0.3,3,0,1864.54
1,109,-0.1053,71,6,1,0.6,3,0.4,5,0,3007.94
1,109,0.1818,58,6,0,0.6,4,0.4,5,0,1086.26
1,109,0.4348,47,6,1,0.7,2,0.3,3,1,1644.06
1,109,0.5455,48,6,1,0.7,3,0.3,4,1,2424.57
1,109,0.6667,43,6,1,0.8,1,0.2,2,1,1003.65
1,109,0.9091,75,6,1,0.8,2,0.2,3,1,882.96
1,109,-0.9091,73,7,1,0.6,1,0.4,4,1,2850.63
1,109,-0.7273,77,7,1,0.7,1,0.3,5,1,981.17
1,109,-0.5,64,7,1,0.6,2,0.4,5,0,2962.83
1,109,-0.25,39,7,0,0.7,1,0.3,3,0,2227.22
1,109,-0.1053,86,7,1,0.6,3,0.4,5,0,1426.21
1,109,0.1818,60,7,1,0.6,4,0.4,5,1,1223.95
1,109,0.4348,50,7,1,0.7,2,0.3,3,1,1026.66
1,109,0.5455,70,7,1,0.7,3,0.3,4,1,1098.72
1,109,0.6667,44,7,1,0.8,1,0.2,2,0,701.99
1,109,0.9091,76,7,1,0.8,2,0.2,3,1,856.88
1,109,-0.9091,80,8,0,0.6,1,0.4,4,1,2031.32
1,109,-0.7273,83,8,1,0.7,1,0.3,5,1,1002.62
1,109,-0.5,65,8,1,0.6,2,0.4,5,1,2059.33
1,109,-0.25,54,8,1,0.7,1,0.3,3,1,2712.68
1,109,-0.1053,88,8,1,0.6,3,0.4,5,1,1653.47
1,109,0.1818,61,8,1,0.6,4,0.4,5,0,1989.75
1,109,0.4348,62,8,1,0.7,2,0.3,3,1,1213
1,109,0.5455,72,8,1,0.7,3,0.3,4,1,1063.84
1,109,0.6667,46,8,1,0.8,1,0.2,2,1,946.54
1,109,0.9091,87,8,1,0.8,2,0.2,3,1,897.59
1,109,-0.9091,92,9,1,0.6,1,0.4,4,1,1259.12
1,109,-0.7273,93,9,0,0.7,1,0.3,5,1,1807.55
1,109,-0.5,69,9,1,0.6,2,0.4,5,1,1429.66
1,109,-0.25,74,9,1,0.7,1,0.3,3,1,2311.72
1,109,-0.1053,89,9,1,0.6,3,0.4,5,0,1257.37
1,109,0.1818,78,9,1,0.6,4,0.4,5,0,1203.38
1,109,0.4348,79,9,1,0.7,2,0.3,3,0,1540.84
1,109,0.5455,81,9,1,0.7,3,0.3,4,0,2236.31
1,109,0.6667,85,9,1,0.8,1,0.2,2,1,955.2
1,109,0.9091,96,9,1,0.8,2,0.2,3,1,1313.05
1,109,-0.9091,97,10,1,0.6,1,0.4,4,0,1547.63
1,109,-0.7273,98,10,1,0.7,1,0.3,5,0,1294.34
1,109,-0.5,90,10,1,0.6,2,0.4,5,0,1304.13
1,109,-0.25,84,10,1,0.7,1,0.3,3,1,777.36
1,109,-0.1053,100,10,0,0.6,3,0.4,5,0,1763.93
1,109,0.1818,95,10,0,0.6,4,0.4,5,0,1076.44
1,109,0.4348,94,10,1,0.7,2,0.3,3,0,815.81
1,109,0.5455,82,10,0,0.7,3,0.3,4,0,2693.61
1,109,0.6667,91,10,1,0.8,1,0.2,2,1,1429.88
1,109,0.9091,99,10,1,0.8,2,0.2,3,1,1321.32
1,110,-0.9091,3,1,0,0.6,1,0.4,4,1,3054.81
1,110,-0.7273,8,1,1,0.7,1,0.3,5,0,1199.48
1,110,-0.5,1,1,1,0.6,2,0.4,5,1,11383.36
1,110,-0.25,6,1,1,0.7,1,0.3,3,1,2411.94
1,110,-0.1053,4,1,1,0.6,3,0.4,5,0,2433.23
1,110,0.1818,2,1,1,0.6,4,0.4,5,1,2726.18
