cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag
1,302,0.6667,63,4,1,0.8,1,0.2,2
1,302,0.8235,27,4,1,0.8,3,0.2,5
1,302,1,38,4,1,0.8,3,0.2,4
1,302,-0.9091,35,5,0,0.6,1,0.4,4
1,302,-0.7273,34,5,0,0.7,1,0.3,5
1,302,-0.5263,28,5,1,0.7,1,0.3,4
1,302,-0.2857,54,5,0,0.6,2,0.4,4
1,302,0,50,5,1,0.6,2,0.4,3
1,302,0.3333,57,5,1,0.7,3,0.3,5
1,302,0.4615,39,5,1,0.8,2,0.2,5
1,302,0.6667,64,5,1,0.8,1,0.2,2
1,302,0.8235,42,5,1,0.8,3,0.2,5
1,302,1,46,5,1,0.8,3,0.2,4
1,302,-0.9091,44,6,0,0.6,1,0.4,4
1,302,-0.7273,56,6,0,0.7,1,0.3,5
1,302,-0.5263,41,6,0,0.7,1,0.3,4
1,302,-0.2857,60,6,1,0.6,2,0.4,4
1,302,0,51,6,1,0.6,2,0.4,3
1,302,0.3333,58,6,1,0.7,3,0.3,5
1,302,0.4615,43,6,1,0.8,2,0.2,5
1,302,0.6667,68,6,1,0.8,1,0.2,2
1,302,0.8235,48,6,1,0.8,3,0.2,5
1,302,1,53,6,1,0.8,3,0.2,4
1,302,-0.9091,47,7,0,0.6,1,0.4,4
1,302,-0.7273,65,7,0,0.7,1,0.3,5
1,302,-0.5263,52,7,0,0.7,1,0.3,4
1,302,-0.2857,62,7,0,0.6,2,0.4,4
1,302,0,55,7,1,0.6,2,0.4,3
1,302,0.3333,69,7,1,0.7,3,0.3,5
1,302,0.4615,72,7,1,0.8,2,0.2,5
1,302,0.6667,73,7,0,0.8,1,0.2,2
1,302,0.8235,66,7,1,0.8,3,0.2,5
1,302,1,67,7,1,0.8,3,0.2,4
1,302,-0.9091,79,8,0,0.6,1,0.4,4
1,302,-0.7273,71,8,0,0.7,1,0.3,5
1,302,-0.5263,84,8,0,0.7,1,0.3,4
1,302,-0.2857,70,8,1,0.6,2,0.4,4
1,302,0,59,8,1,0.6,2,0.4,3
1,302,0.3333,78,8,1,0.7,3,0.3,5
1,302,0.4615,87,8,1,0.8,2,0.2,5
1,302,0.6667,81,8,1,0.8,1,0.2,2
1,302,0.8235,91,8,1,0.8,3,0.2,5
1,302,1,74,8,1,0.8,3,0.2,4
1,302,-0.9091,86,9,0,0.6,1,0.4,4
1,302,-0.7273,82,9,0,0.7,1,0.3,5
1,302,-0.5263,85,9,1,0.7,1,0.3,4
1,302,-0.2857,80,9,0,0.6,2,0.4,4
1,302,0,77,9,0,0.6,2,0.4,3
1,302,0.3333,90,9,1,0.7,3,0.3,5
1,302,0.4615,89,9,1,0.8,2,0.2,5
1,302,0.6667,83,9,1,0.8,1,0.2,2
1,302,0.8235,95,9,1,0.8,3,0.2,5
1,302,1,75,9,1,0.8,3,0.2,4
1,302,-0.9091,96,10,0,0.6,1,0.4,4
1,302,-0.7273,88,10,0,0.7,1,0.3,5
1,302,-0.5263,99,10,0,0.7,1,0.3,4
1,302,-0.2857,92,10,1,0.6,2,0.4,4
1,302,0,93,10,1,0.6,2,0.4,3
1,302,0.3333,100,10,1,0.7,3,0.3,5
