RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,fractal,half,IA_DWELL_TIME,IA_DWELL_TIME_%
313,32,CS,win_fractal.jpg,2,3712,1
313,32,US,win_fractal.jpg,2,0,0
313,33,CS,win_fractal.jpg,2,3887,1
313,33,US,win_fractal.jpg,2,0,0
313,34,CS,nowin_fractal.jpg,2,3827,1
313,34,US,nowin_fractal.jpg,2,0,0
313,35,CS,nowin_fractal.jpg,2,3914,1
313,35,US,nowin_fractal.jpg,2,0,0
313,36,CS,nowin_fractal.jpg,2,3543,0.9408
313,36,US,nowin_fractal.jpg,2,223,0.0592
313,37,CS,win_fractal.jpg,2,3900,1
313,37,US,win_fractal.jpg,2,0,0
313,38,CS,nowin_fractal.jpg,2,3929,1
313,38,US,nowin_fractal.jpg,2,0,0
313,39,CS,nowin_fractal.jpg,2,3724,1
313,39,US,nowin_fractal.jpg,2,0,0
313,40,CS,win_fractal.jpg,2,3932,1
313,40,US,win_fractal.jpg,2,0,0
317,1,CS,win_fractal.jpg,1,2565,0.7231
317,1,US,win_fractal.jpg,1,241,0.0679
317,2,CS,nowin_fractal.jpg,1,1275,0.3448
317,2,US,nowin_fractal.jpg,1,306,0.0827
317,3,CS,win_fractal.jpg,1,2789,0.81
317,3,US,win_fractal.jpg,1,70,0.0203
317,4,CS,nowin_fractal.jpg,1,687,0.175
317,4,US,nowin_fractal.jpg,1,0,0
317,5,CS,win_fractal.jpg,1,2485,0.7213
317,5,US,win_fractal.jpg,1,326,0.0946
317,6,CS,nowin_fractal.jpg,1,0,0
317,6,US,nowin_fractal.jpg,1,451,0.1199
317,7,CS,nowin_fractal.jpg,1,0,0
317,7,US,nowin_fractal.jpg,1,0,0
317,8,CS,nowin_fractal.jpg,1,2720,0.79
317,8,US,nowin_fractal.jpg,1,460,0.1336
317,9,CS,nowin_fractal.jpg,1,395,0.118
317,9,US,nowin_fractal.jpg,1,0,0
317,10,CS,nowin_fractal.jpg,1,767,0.2254
317,10,US,nowin_fractal.jpg,1,0,0
