"id","stimulus","congruent","incongruent","response_idx","version"
"169","nowin",114,94,0.0961538461538462,3
"169","win",110,114,-0.0178571428571429,3
"171","filler",40,29,0.159420289855072,3
"171","nowin",149,73,0.342342342342342,3
"171","win",128,105,0.0987124463519313,3
"174","filler",36,26,0.161290322580645,3
"174","nowin",112,93,0.0926829268292683,3
"174","win",86,113,-0.135678391959799,3
"176","filler",39,34,0.0684931506849315,3
"176","nowin",99,94,0.0259067357512953,3
"176","win",101,111,-0.0471698113207547,3
"179","filler",27,31,-0.0689655172413793,3
"179","nowin",109,90,0.0954773869346734,3
"179","win",132,69,0.313432835820896,3
"182","filler",41,29,0.171428571428571,3
"182","nowin",118,120,-0.00840336134453781,3
"182","win",80,152,-0.310344827586207,3
"188","filler",27,39,-0.181818181818182,3
"188","nowin",128,101,0.117903930131004,3
"188","win",139,69,0.336538461538462,3
"190","filler",28,43,-0.211267605633803,3
"190","nowin",140,117,0.0894941634241245,3
"190","win",159,91,0.272,3
"193","filler",22,15,0.189189189189189,3
"193","nowin",66,55,0.0909090909090909,3
"193","win",69,58,0.0866141732283465,3
"198","filler",55,35,0.222222222222222,3
"198","nowin",116,160,-0.159420289855072,3
"198","win",121,152,-0.113553113553114,3
"207","filler",11,20,-0.290322580645161,3
"207","nowin",70,43,0.238938053097345,3
"207","win",47,59,-0.113207547169811,3
"211","filler",34,29,0.0793650793650794,3
"211","nowin",136,82,0.247706422018349,3
"211","win",146,78,0.303571428571429,3
"212","filler",17,10,0.259259259259259,3
"212","nowin",45,54,-0.0909090909090909,3
"212","win",60,29,0.348314606741573,3
"214","filler",91,0,1,3
"214","nowin",191,63,0.503937007874016,3
"214","win",86,178,-0.348484848484849,3
"221","filler",31,15,0.347826086956522,3
"221","nowin",82,136,-0.247706422018349,3
"221","win",114,126,-0.05,3
"224","filler",81,2,0.951807228915663,3
"224","nowin",218,47,0.645283018867924,3
"224","win",178,83,0.363984674329502,3
"228","filler",31,40,-0.126760563380282,3
"228","nowin",82,100,-0.0989010989010989,3
"228","win",93,95,-0.0106382978723404,3
"231","filler",18,13,0.161290322580645,3
"231","nowin",58,66,-0.0645161290322581,3
"231","win",70,62,0.0606060606060606,3
"102","filler",42,32,0.135135135135135,4
"102","nowin",154,82,0.305084745762712,4
"102","win",123,99,0.108108108108108,4
"103","filler",52,21,0.424657534246575,4
"103","nowin",97,160,-0.245136186770428,4
"103","win",133,116,0.0682730923694779,4
"112","filler",26,47,-0.287671232876712,4
"112","nowin",120,115,0.0212765957446809,4
"112","win",119,107,0.0530973451327434,4
"114","filler",39,29,0.147058823529412,4
"114","nowin",120,116,0.0169491525423729,4
"114","win",109,136,-0.110204081632653,4
"122","filler",46,30,0.210526315789474,4
"122","nowin",105,93,0.0606060606060606,4
"122","win",88,78,0.0602409638554217,4
"127","filler",29,39,-0.147058823529412,4
"127","nowin",162,71,0.390557939914163,4
"127","win",171,69,0.425,4
"129","filler",36,31,0.0746268656716418,4
"129","nowin",102,118,-0.0727272727272727,4
"129","win",175,60,0.48936170212766,4
"134","filler",40,26,0.212121212121212,4
"134","nowin",137,78,0.274418604651163,4
"134","win",145,73,0.330275229357798,4
"144","filler",14,15,-0.0344827586206897,4
"144","nowin",48,50,-0.0204081632653061,4
"144","win",57,53,0.0363636363636364,4
"157","filler",50,29,0.265822784810127,4
"157","nowin",147,112,0.135135135135135,4
"157","win",165,111,0.195652173913043,4
"158","filler",48,39,0.103448275862069,4
"158","nowin",193,50,0.588477366255144,4
"158","win",189,45,0.615384615384615,4
"159","filler",40,18,0.379310344827586,4
"159","nowin",108,86,0.11340206185567,4
"159","win",129,81,0.228571428571429,4
"161","filler",63,24,0.448275862068966,4
"161","nowin",124,157,-0.117437722419929,4
"161","win",137,153,-0.0551724137931034,4
"162","filler",32,18,0.28,4
"162","nowin",107,69,0.215909090909091,4
"162","win",102,39,0.446808510638298,4
"163","filler",30,44,-0.189189189189189,4
"163","nowin",127,117,0.040983606557377,4
"163","win",126,109,0.0723404255319149,4
"164","filler",36,4,0.8,4
"164","nowin",68,62,0.0461538461538462,4
"164","win",50,61,-0.0990990990990991,4
"165","filler",65,22,0.494252873563218,4
"165","nowin",202,57,0.55984555984556,4
"165","win",85,174,-0.343629343629344,4
"172","filler",37,48,-0.129411764705882,4
"172","nowin",160,102,0.221374045801527,4
"172","win",170,95,0.283018867924528,4
"173","filler",17,30,-0.276595744680851,4
"173","nowin",96,107,-0.0541871921182266,4
"173","win",95,104,-0.0452261306532663,4
"181","filler",35,31,0.0606060606060606,4
"181","nowin",123,92,0.144186046511628,4
"181","win",141,80,0.276018099547511,4
"183","filler",19,50,-0.449275362318841,4
"183","nowin",84,182,-0.368421052631579,4
"183","win",123,142,-0.0716981132075472,4
"186","filler",35,28,0.111111111111111,4
"186","nowin",118,124,-0.0247933884297521,4
